id,tweet,label,disaster,tokenized,lemmatized,stemmed
'263148068365533186',stop with this silly snow hoax  we all know this is a global warming hurricane     slackadjuster  severestudios  reedtimme vn,1,hurricane,stop with this silly snow hoax we all know this is a global warming hurricane slackadjuster severestudios reedtimme vn,stop with this silly snow hoax we all know this is a global warming hurricane slackadjuster severestudios reedtimme vn,stop with thi silli snow hoax we all know thi is a global warm hurrican slackadjust severestudio reedtimm vn
'262953803517657088',this is what it look like out my window    weedtopia,0,hurricane,this is what it look like out my window weedtopia,this is what it look like out my window weedtopia,thi is what it look like out my window weedtopia
'262891755366670338',hayleyshammock shopping fun      it should be like this then sta  to gradually get worse  but will keep u up2date    see what goes on,0,hurricane,hayleyshammock shopping fun it should be like this then sta to gradually get worse but will keep u up2date see what goes on,hayleyshammock shopping fun it should be like this then sta to gradually get worse but will keep u up2date see what go on,hayleyshammock shop fun it should be like thi then sta to gradual get wors but will keep u up2dat see what goe on
'262992935581261824',i m debating if i should take you homeeee,0,hurricane,i m debating if i should take you homeeee,i m debating if i should take you homeeee,i m debat if i should take you homeee
'262646509324103681',emily s air mattress is our noah s ark  two of every type  of boxed wine   sandy,1,hurricane,emily s air mattress is our noah s ark two of every type of boxed wine sandy,emily s air mattress is our noah s ark two of every type of boxed wine sandy,emili s air mattress is our noah s ark two of everi type of box wine sandi
'262932766411354113',checking the city here in brooklyn,0,hurricane,checking the city here in brooklyn,checking the city here in brooklyn,check the citi here in brooklyn
'262893005973897216',holy shit it must be the end of the world when not even best buy is opening  day offf,0,hurricane,holy shit it must be the end of the world when not even best buy is opening day offf,holy shit it must be the end of the world when not even best buy is opening day offf,holi shit it must be the end of the world when not even best buy is open day offf
'262713321558507521',just because you can t  doesn t mean i can t,0,hurricane,just because you can t doesn t mean i can t,just because you can t doesn t mean i can t,just becaus you can t doesn t mean i can t
'262643581859266560',when the lights in the elevator you re in go out and you re stuck in darkness  hurricanesandy,2,hurricane,when the lights in the elevator you re in go out and you re stuck in darkness hurricanesandy,when the light in the elevator you re in go out and you re stuck in darkness hurricanesandy,when the light in the elev you re in go out and you re stuck in dark hurricanesandi
'262388734526386177',satstudytime   wow   wish my boys found that earlier   hurry before its unavailable des moines register bwy,0,hurricane,satstudytime wow wish my boys found that earlier hurry before its unavailable des moines register bwy,satstudytime wow wish my boy found that earlier hurry before it unavailable de moines register bwy,satstudytim wow wish my boy found that earlier hurri befor it unavail de moin regist bwi
'262923557485543424',thefatladyraps but you love me    and u ugg,0,hurricane,thefatladyraps but you love me and u ugg,thefatladyraps but you love me and u ugg,thefatladyrap but you love me and u ugg
'263001696836407298',judyrey same thing in queens  i have siding hanging from my house  where r u,0,hurricane,judyrey same thing in queens i have siding hanging from my house where r u,judyrey same thing in queen i have siding hanging from my house where r u,judyrey same thing in queen i have side hang from my hous where r u
'263323977664053248',oredrocann holy shit  your block or the next one,0,hurricane,oredrocann holy shit your block or the next one,oredrocann holy shit your block or the next one,oredrocann holi shit your block or the next one
'262980126306889729',the statue of libe y as seen from near battery park   sandy  hurricanesandy    battery park city,1,hurricane,the statue of libe y as seen from near battery park sandy hurricanesandy battery park city,the statue of libe y a seen from near battery park sandy hurricanesandy battery park city,the statu of libe y as seen from near batteri park sandi hurricanesandi batteri park citi
'263296901187776512',channel surfing  and relaxing with my green goodies  i wanna go for a walk  but not feeling flying away like  marypoppins or some shit,0,hurricane,channel surfing and relaxing with my green goodies i wanna go for a walk but not feeling flying away like marypoppins or some shit,channel surfing and relaxing with my green goody i wanna go for a walk but not feeling flying away like marypoppins or some shit,channel surf and relax with my green goodi i wanna go for a walk but not feel fli away like marypoppin or some shit
'262684238896300032',i wanna go to the beach but i don t wanna die,2,hurricane,i wanna go to the beach but i don t wanna die,i wanna go to the beach but i don t wanna die,i wanna go to the beach but i don t wanna die
'263118773664485376',katedorsson   sandy   a rod damn dude    what is this world coming too       too funny lol,2,hurricane,katedorsson sandy a rod damn dude what is this world coming too too funny lol,katedorsson sandy a rod damn dude what is this world coming too too funny lol,katedorsson sandi a rod damn dude what is thi world come too too funni lol
'263139442183790593',nicoledandrea yea  just hoping my windows hold  they re shaking but they re all new so fingers crossed  hope all is well on your end,1,hurricane,nicoledandrea yea just hoping my windows hold they re shaking but they re all new so fingers crossed hope all is well on your end,nicoledandrea yea just hoping my window hold they re shaking but they re all new so finger crossed hope all is well on your end,nicoledandrea yea just hope my window hold they re shake but they re all new so finger cross hope all is well on your end
'262419390740430848',today i had more fun then i have in the longest time,0,hurricane,today i had more fun then i have in the longest time,today i had more fun then i have in the longest time,today i had more fun then i have in the longest time
'262647226331979776',cococrunchmb hi p   your going to do great today  d love you   lt 3,0,hurricane,cococrunchmb hi p your going to do great today d love you lt 3,cococrunchmb hi p your going to do great today d love you lt 3,cococrunchmb hi p your go to do great today d love you lt 3
'262937571376627714',water levels be rising       long island city piers   pic,1,hurricane,water levels be rising long island city piers pic,water level be rising long island city pier pic,water level be rise long island citi pier pic
'262608654115696640',dearest  andre kamp  i love you  wish you were in the storm with us,2,hurricane,dearest andre kamp i love you wish you were in the storm with us,dearest andre kamp i love you wish you were in the storm with u,dearest andr kamp i love you wish you were in the storm with us
'262686217462767618',stfup     nobody likes your shit anyways           likes to talk shit alot     lmfao,0,hurricane,stfup nobody likes your shit anyways likes to talk shit alot lmfao,stfup nobody like your shit anyways like to talk shit alot lmfao,stfup nobodi like your shit anyway like to talk shit alot lmfao
'263139066609025024',breaking     youranonnews   nyc  sandy   fdny on scanner confirmed fuel leak contamination  drink bottled water  boiling will not help,2,hurricane,breaking youranonnews nyc sandy fdny on scanner confirmed fuel leak contamination drink bottled water boiling will not help,breaking youranonnews nyc sandy fdny on scanner confirmed fuel leak contamination drink bottled water boiling will not help,break youranonnew nyc sandi fdni on scanner confirm fuel leak contamin drink bottl water boil will not help
'262632413526650880',mikeydeleasa thank you for posting that  is it gonna be rescheduled,0,hurricane,mikeydeleasa thank you for posting that is it gonna be rescheduled,mikeydeleasa thank you for posting that is it gonna be rescheduled,mikeydeleasa thank you for post that is it gonna be reschedul
'263071168569962496',my power keep goin in and out,2,hurricane,my power keep goin in and out,my power keep goin in and out,my power keep goin in and out
'263119712408449024',my whole street is black,0,hurricane,my whole street is black,my whole street is black,my whole street is black
'263400723415433216',shalomshuli dude   you are crushing on howard   i m listening on demand right now   shalom  mother effer    sal   from raw dog,0,hurricane,shalomshuli dude you are crushing on howard i m listening on demand right now shalom mother effer sal from raw dog,shalomshuli dude you are crushing on howard i m listening on demand right now shalom mother effer sal from raw dog,shalomshuli dude you are crush on howard i m listen on demand right now shalom mother effer sal from raw dog
'263006493832536064',max d tho smokin during a hurricane is hard as hell lol,2,hurricane,max d tho smokin during a hurricane is hard as hell lol,max d tho smokin during a hurricane is hard a hell lol,max d tho smokin dure a hurrican is hard as hell lol
'262916894640721921',tonight i m gonna dance for all that we ve been through  but i don t wanna dance if i m not dancing with you,0,hurricane,tonight i m gonna dance for all that we ve been through but i don t wanna dance if i m not dancing with you,tonight i m gonna dance for all that we ve been through but i don t wanna dance if i m not dancing with you,tonight i m gonna danc for all that we ve been through but i don t wanna danc if i m not danc with you
'263207263735521280',things are bad out there   west orange police dept,2,hurricane,things are bad out there west orange police dept,thing are bad out there west orange police dept,thing are bad out there west orang polic dept
'262743912622481410',if only i was stormed in with  twink ie   gibaby  my only survival needs  stay safe  love you,2,hurricane,if only i was stormed in with twink ie gibaby my only survival needs stay safe love you,if only i wa stormed in with twink ie gibaby my only survival need stay safe love you,if onli i wa storm in with twink ie gibabi my onli surviv need stay safe love you
'262612444822773761',wimblaaa what   malteses are cute,0,hurricane,wimblaaa what malteses are cute,wimblaaa what maltese are cute,wimblaaa what maltes are cute
'262425319644995584',well i was the only sober one at the pa y at least i won t have a  hangover  suckstosuck,0,hurricane,well i was the only sober one at the pa y at least i won t have a hangover suckstosuck,well i wa the only sober one at the pa y at least i won t have a hangover suckstosuck,well i wa the onli sober one at the pa y at least i won t have a hangov suckstosuck
'262627301999669249',everyone and their mothers are at home depot,0,hurricane,everyone and their mothers are at home depot,everyone and their mother are at home depot,everyon and their mother are at home depot
'263064103097073664',ant decicco i wanna check it out,0,hurricane,ant decicco i wanna check it out,ant decicco i wanna check it out,ant decicco i wanna check it out
'262377283547963392',i m too nice at fifa,0,hurricane,i m too nice at fifa,i m too nice at fifa,i m too nice at fifa
'263186235609198593',so much to do  in such sho  time   must not be lazy   ahja,0,hurricane,so much to do in such sho time must not be lazy ahja,so much to do in such sho time must not be lazy ahja,so much to do in such sho time must not be lazi ahja
'262866446596595713',sicilia ubd      havetoacemysatexam      better get it while u can,0,hurricane,sicilia ubd havetoacemysatexam better get it while u can,sicilia ubd havetoacemysatexam better get it while u can,sicilia ubd havetoacemysatexam better get it while u can
'263065687252160512',power s been cut to lower manhattan and our lights are flickering,2,hurricane,power s been cut to lower manhattan and our lights are flickering,power s been cut to lower manhattan and our light are flickering,power s been cut to lower manhattan and our light are flicker
'263041747725217792',my mom told me i could have whoever i want sleep over  it s a little late mom,0,hurricane,my mom told me i could have whoever i want sleep over it s a little late mom,my mom told me i could have whoever i want sleep over it s a little late mom,my mom told me i could have whoever i want sleep over it s a littl late mom
'262816572635230209',pre sandy calm   patsy  eddie s boli stoli factory,1,hurricane,pre sandy calm patsy eddie s boli stoli factory,pre sandy calm patsy eddie s boli stoli factory,pre sandi calm patsi eddi s boli stoli factori
'263042795672064000',guys     it s getting really bad out there now    hope everyone    frankenstorm apocalypse   hurricane sandy,1,hurricane,guys it s getting really bad out there now hope everyone frankenstorm apocalypse hurricane sandy,guy it s getting really bad out there now hope everyone frankenstorm apocalypse hurricane sandy,guy it s get realli bad out there now hope everyon frankenstorm apocalyps hurrican sandi
'262764439437180930',giants    congratulations  what a season,0,hurricane,giants congratulations what a season,giant congratulation what a season,giant congratul what a season
'262387372438720513',i have so much ammo  i m gunna kill all the babies   zaine o mac,0,hurricane,i have so much ammo i m gunna kill all the babies zaine o mac,i have so much ammo i m gunna kill all the baby zaine o mac,i have so much ammo i m gunna kill all the babi zain o mac
'262597224658251777',pweetytinu am gud and u,0,hurricane,pweetytinu am gud and u,pweetytinu am gud and u,pweetytinu am gud and u
'262951342073597953',good bye astoria  hurricanesandy on the way   astoria park,1,hurricane,good bye astoria hurricanesandy on the way astoria park,good bye astoria hurricanesandy on the way astoria park,good bye astoria hurricanesandi on the way astoria park
'262537488415981570',abbiebradyd it s not a memo you wanted to be on  trust me,0,hurricane,abbiebradyd it s not a memo you wanted to be on trust me,abbiebradyd it s not a memo you wanted to be on trust me,abbiebradyd it s not a memo you want to be on trust me
'262992182523334656',oh dear sandy    home  ignorantshit  lookinglikeim13  superasian    somewhere in my world,0,hurricane,oh dear sandy home ignorantshit lookinglikeim13 superasian somewhere in my world,oh dear sandy home ignorantshit lookinglikeim13 superasian somewhere in my world,oh dear sandi home ignorantshit lookinglikeim13 superasian somewher in my world
'263104324320759808',zmars89 to be honest with you  i don t remember peeing infront of his house ever,0,hurricane,zmars89 to be honest with you i don t remember peeing infront of his house ever,zmars89 to be honest with you i don t remember peeing infront of his house ever,zmars89 to be honest with you i don t rememb pee infront of hi hous ever
'262917605541679104',sandy can t stop me from getting my owab,0,hurricane,sandy can t stop me from getting my owab,sandy can t stop me from getting my owab,sandi can t stop me from get my owab
'263429885417119744',no we do not have fucking ice      go the fuck home,0,hurricane,no we do not have fucking ice go the fuck home,no we do not have fucking ice go the fuck home,no we do not have fuck ice go the fuck home
'263101007012179968',hide yo kids hide yo wives  sandy,1,hurricane,hide yo kids hide yo wives sandy,hide yo kid hide yo wife sandy,hide yo kid hide yo wive sandi
'262430296757116928',are you don drapers wife   boom  halloween2012  madmen,0,hurricane,are you don drapers wife boom halloween2012 madmen,are you don draper wife boom halloween2012 madman,are you don draper wife boom halloween2012 madmen
'262707609717575680',ok   goodbye new yorkers  i m outta here  good luck with the  frankenstorm and stuff,1,hurricane,ok goodbye new yorkers i m outta here good luck with the frankenstorm and stuff,ok goodbye new yorkers i m outta here good luck with the frankenstorm and stuff,ok goodby new yorker i m outta here good luck with the frankenstorm and stuff
'262471773281460224',gottaacemysatexam    oh lord  i really wish we found that previously   ya better get this  tallgirlappreciationday pzk,0,hurricane,gottaacemysatexam oh lord i really wish we found that previously ya better get this tallgirlappreciationday pzk,gottaacemysatexam oh lord i really wish we found that previously ya better get this tallgirlappreciationday pzk,gottaacemysatexam oh lord i realli wish we found that previous ya better get thi tallgirlappreciationday pzk
'263112104985374720',and out goes my power,1,hurricane,and out goes my power,and out go my power,and out goe my power
'262928096687173633',shakira says  i m something you ll regret losing  i can promise you that much,0,hurricane,shakira says i m something you ll regret losing i can promise you that much,shakira say i m something you ll regret losing i can promise you that much,shakira say i m someth you ll regret lose i can promis you that much
'262961530683928577',4shocincity so far good  i m pa  of emergency staff  i just happen to have day off,0,hurricane,4shocincity so far good i m pa of emergency staff i just happen to have day off,4shocincity so far good i m pa of emergency staff i just happen to have day off,4shocinc so far good i m pa of emerg staff i just happen to have day off
'263090700944556032',i dont even care about the power  i just want this storm to be over,2,hurricane,i dont even care about the power i just want this storm to be over,i dont even care about the power i just want this storm to be over,i dont even care about the power i just want thi storm to be over
'262943710227087360',really don t mind this sandy thing unless the power goes out,1,hurricane,really don t mind this sandy thing unless the power goes out,really don t mind this sandy thing unless the power go out,realli don t mind thi sandi thing unless the power goe out
'262743175431602176',stephennyr89 cause i seen people post pictures of flooding  puddles    didnt know what was going on out there haha,2,hurricane,stephennyr89 cause i seen people post pictures of flooding puddles didnt know what was going on out there haha,stephennyr89 cause i seen people post picture of flooding puddle didnt know what wa going on out there haha,stephennyr89 caus i seen peopl post pictur of flood puddl didnt know what wa go on out there haha
'263114442114490368',tree trimming in nee jersey,0,hurricane,tree trimming in nee jersey,tree trimming in nee jersey,tree trim in nee jersey
'262615077952319489',i honestly hate the volkswagen commercial with the dude singing in the black car,0,hurricane,i honestly hate the volkswagen commercial with the dude singing in the black car,i honestly hate the volkswagen commercial with the dude singing in the black car,i honestli hate the volkswagen commerci with the dude sing in the black car
'263077258338639872',oh my god there s an emergency ale  in my area i m fucking scared,2,hurricane,oh my god there s an emergency ale in my area i m fucking scared,oh my god there s an emergency ale in my area i m fucking scared,oh my god there s an emerg ale in my area i m fuck scare
'263013628167462913',jacquelinetweet we just happen to be surrounding a tray of vodka kelly right now while sheltering in our building haha  hurricanefestival,1,hurricane,jacquelinetweet we just happen to be surrounding a tray of vodka kelly right now while sheltering in our building haha hurricanefestival,jacquelinetweet we just happen to be surrounding a tray of vodka kelly right now while sheltering in our building haha hurricanefestival,jacquelinetweet we just happen to be surround a tray of vodka kelli right now while shelter in our build haha hurricanefestiv
'263023091897221121',i want 1st marking period to end already,0,hurricane,i want 1st marking period to end already,i want 1st marking period to end already,i want 1st mark period to end alreadi
'262392725469544448',s mehalick  why won t my friends text me,0,hurricane,s mehalick why won t my friends text me,s mehalick why won t my friend text me,s mehalick whi won t my friend text me
'263102777822150656',this guy skelton had the job in week 1  got hu   kolb leads them to 4 2 n skelton comes is and is just horrific,0,hurricane,this guy skelton had the job in week 1 got hu kolb leads them to 4 2 n skelton comes is and is just horrific,this guy skelton had the job in week 1 got hu kolb lead them to 4 2 n skelton come is and is just horrific,thi guy skelton had the job in week 1 got hu kolb lead them to 4 2 n skelton come is and is just horrif
'263040368797446146',swagislethal but around 6 8pm with the high tide we will have bad flooding,2,hurricane,swagislethal but around 6 8pm with the high tide we will have bad flooding,swagislethal but around 6 8pm with the high tide we will have bad flooding,swagisleth but around 6 8pm with the high tide we will have bad flood
'263400823873212416',pra hana xo i have electricity come over later,2,hurricane,pra hana xo i have electricity come over later,pra hana xo i have electricity come over later,pra hana xo i have electr come over later
'262756485862412288',i feel like if we fall apa  you wouldn t care   lt  3,0,hurricane,i feel like if we fall apa you wouldn t care lt 3,i feel like if we fall apa you wouldn t care lt 3,i feel like if we fall apa you wouldn t care lt 3
'262756977430646785',jazminrazzles my soul to take,0,hurricane,jazminrazzles my soul to take,jazminrazzles my soul to take,jazminrazzl my soul to take
'262906282929967104',its sad  when you can t trust someone you involve with,0,hurricane,its sad when you can t trust someone you involve with,it sad when you can t trust someone you involve with,it sad when you can t trust someon you involv with
'263117323815223297',i m tighter than a virgin right now since i can t text  lt  lt  lt,0,hurricane,i m tighter than a virgin right now since i can t text lt lt lt,i m tighter than a virgin right now since i can t text lt lt lt,i m tighter than a virgin right now sinc i can t text lt lt lt
'262919076668637184',baby all i need is on,0,hurricane,baby all i need is on,baby all i need is on,babi all i need is on
'262652972754956288',can t believe one of the twitter accounts for the hurricane is actually tweeting promoting4obama  be funny bout the storm not talk politics,1,hurricane,can t believe one of the twitter accounts for the hurricane is actually tweeting promoting4obama be funny bout the storm not talk politics,can t believe one of the twitter account for the hurricane is actually tweeting promoting4obama be funny bout the storm not talk politics,can t believ one of the twitter account for the hurrican is actual tweet promoting4obama be funni bout the storm not talk polit
'262755928191946752',xo kimx3   tomyfuturedaughter you will play softball,0,hurricane,xo kimx3 tomyfuturedaughter you will play softball,xo kimx3 tomyfuturedaughter you will play softball,xo kimx3 tomyfuturedaught you will play softbal
'263128254674784256',sbedard23 sounds great love you guys,0,hurricane,sbedard23 sounds great love you guys,sbedard23 sound great love you guy,sbedard23 sound great love you guy
'262609740402675714',teaching your little siblings how to actually be a decent human bieng,0,hurricane,teaching your little siblings how to actually be a decent human bieng,teaching your little sibling how to actually be a decent human bieng,teach your littl sibl how to actual be a decent human bieng
'262902930624090112',ufouria  i don t even like candy so i don t know man lmfao,0,hurricane,ufouria i don t even like candy so i don t know man lmfao,ufouria i don t even like candy so i don t know man lmfao,ufouria i don t even like candi so i don t know man lmfao
'262644498688004097',why does my twitter randomly favorite other people tweets  sorryguys,0,hurricane,why does my twitter randomly favorite other people tweets sorryguys,why doe my twitter randomly favorite other people tweet sorryguys,whi doe my twitter randomli favorit other peopl tweet sorryguy
'263123476653682688',vikeologist we re a cbs owned and operated station  ny needed crews  we came,0,hurricane,vikeologist we re a cbs owned and operated station ny needed crews we came,vikeologist we re a cbs owned and operated station ny needed crew we came,vikeologist we re a cb own and oper station ny need crew we came
'262564759814152192',he ain t nothing like the boy i used to know,0,hurricane,he ain t nothing like the boy i used to know,he ain t nothing like the boy i used to know,he ain t noth like the boy i use to know
'262609485632266241',my first step in my       new york penn station w  79 others   pic,0,hurricane,my first step in my new york penn station w 79 others pic,my first step in my new york penn station w 79 others pic,my first step in my new york penn station w 79 other pic
