id,tweet,tokenized,lemmatized,stemmed,label
901580510786240512,since i have been stuck in the house for 2 days because of  hurricaneharvey  i was able to,since i have been stuck in the house for 2 days because of hurricaneharvey i was able to,since i have been stuck in the house for 2 day because of hurricaneharvey i wa able to,sinc i have been stuck in the hous for 2 day becaus of hurricaneharvey i wa abl to,0
901580504297869312,doh    on the scene with squishy  now tropical storm harvey update   roger deards texas bbq and,doh on the scene with squishy now tropical storm harvey update roger deards texas bbq and,doh on the scene with squishy now tropical storm harvey update roger deards texas bbq and,doh on the scene with squishi now tropic storm harvey updat roger deard texa bbq and,0
901580443933302784,i m going to try this again lol because instagram has been down    outcry tour photo n2 during,i m going to try this again lol because instagram has been down outcry tour photo n2 during,i m going to try this again lol because instagram ha been down outcry tour photo n2 during,i m go to tri thi again lol becaus instagram ha been down outcri tour photo n2 dure,0
901580096993198081,happy  nationaldogday  i m so glad i was able to photograph both my friend gymalldae ifbbpro and,happy nationaldogday i m so glad i was able to photograph both my friend gymalldae ifbbpro and,happy nationaldogday i m so glad i wa able to photograph both my friend gymalldae ifbbpro and,happi nationaldogday i m so glad i wa abl to photograph both my friend gymallda ifbbpro and,0
901580084351467520,since i have been stuck in the house for 2 days because of  hurricaneharvey  i was able to,since i have been stuck in the house for 2 days because of hurricaneharvey i was able to,since i have been stuck in the house for 2 day because of hurricaneharvey i wa able to,sinc i have been stuck in the hous for 2 day becaus of hurricaneharvey i wa abl to,0
901579612546887682,just posted a photo  no h houston  texas,just posted a photo no h houston texas,just posted a photo no h houston texas,just post a photo no h houston texa,0
901579448897724416,clip of catching a nice bass on the kayak  heights area,clip of catching a nice bass on the kayak heights area,clip of catching a nice bass on the kayak height area,clip of catch a nice bass on the kayak height area,0
901579299844534272,taking this to eat and watch the fight miajaz and the houstontexans game     budlighttexas,taking this to eat and watch the fight miajaz and the houstontexans game budlighttexas,taking this to eat and watch the fight miajaz and the houstontexans game budlighttexas,take thi to eat and watch the fight miajaz and the houstontexan game budlighttexa,0
901578732460064768,day 1 5 of  hurricaneharvey a little flooding and that sound is the wind against the chase tower,day 1 5 of hurricaneharvey a little flooding and that sound is the wind against the chase tower,day 1 5 of hurricaneharvey a little flooding and that sound is the wind against the chase tower,day 1 5 of hurricaneharvey a littl flood and that sound is the wind against the chase tower,1
901578709638905857,sometimes it s not about the fact that we don t acknowledge the  almost mythalical status  and,sometimes it s not about the fact that we don t acknowledge the almost mythalical status and,sometimes it s not about the fact that we don t acknowledge the almost mythalical status and,sometim it s not about the fact that we don t acknowledg the almost mythal statu and,0
901577244010840065,our lives are kinda the same wit a few minor differances  lincoln park apa ments,our lives are kinda the same wit a few minor differances lincoln park apa ments,our life are kinda the same wit a few minor differances lincoln park apa ments,our live are kinda the same wit a few minor differ lincoln park apa ment,0
901576974916874241,just posted a photo  dbr clothing co,just posted a photo dbr clothing co,just posted a photo dbr clothing co,just post a photo dbr cloth co,0
901576773086924800,oh god no   drinking a torikumi  dank tank   flying saucer draught emporium    c496439324  photo,oh god no drinking a torikumi dank tank flying saucer draught emporium c496439324 photo,oh god no drinking a torikumi dank tank flying saucer draught emporium c496439324 photo,oh god no drink a torikumi dank tank fli saucer draught emporium c496439324 photo,0
901576619436814336,i look around   i look up  ni  as switched up  real ones stayed down   it s just life    we,i look around i look up ni as switched up real ones stayed down it s just life we,i look around i look up ni a switched up real one stayed down it s just life we,i look around i look up ni as switch up real one stay down it s just life we,0
901576600243892225,drinking a dragon s milk by  newhollandbrew  uncle touchy s naked puzzle basement    c496437794  photo,drinking a dragon s milk by newhollandbrew uncle touchy s naked puzzle basement c496437794 photo,drinking a dragon s milk by newhollandbrew uncle touchy s naked puzzle basement c496437794 photo,drink a dragon s milk by newhollandbrew uncl touchi s nake puzzl basement c496437794 photo,0
901576335499288576,fat bao         fat bao,fat bao fat bao,fat bao fat bao,fat bao fat bao,0
901576272408707085,repost dj staso  get repost         link to tickets in bio    concert alertaugust 31st,repost dj staso get repost link to tickets in bio concert alertaugust 31st,repost dj staso get repost link to ticket in bio concert alertaugust 31st,repost dj staso get repost link to ticket in bio concert alertaugust 31st,0
901576262950510593,not juss pac this  geminilife  lincoln park apa ments,not juss pac this geminilife lincoln park apa ments,not juss pac this geminilife lincoln park apa ments,not juss pac thi geminilif lincoln park apa ment,0
901576187826147328,pancake flight from snooze  an a m  eatery  snoozeameatery  pancakeflight  snooze  an a m  eatery,pancake flight from snooze an a m eatery snoozeameatery pancakeflight snooze an a m eatery,pancake flight from snooze an a m eatery snoozeameatery pancakeflight snooze an a m eatery,pancak flight from snooz an a m eateri snoozeameateri pancakeflight snooz an a m eateri,0
901576160768704512,blackgirlmagic  southwest houston  tx,blackgirlmagic southwest houston tx,blackgirlmagic southwest houston tx,blackgirlmag southwest houston tx,0
901576157899968512,link to tickets in bio    concert alertaugust 31st   houston  texas   l o u d  muzik,link to tickets in bio concert alertaugust 31st houston texas l o u d muzik,link to ticket in bio concert alertaugust 31st houston texas l o u d muzik,link to ticket in bio concert alertaugust 31st houston texa l o u d muzik,0
901575666864414720,drinking a love street by  karbachbrewing  beer market co     c496434953,drinking a love street by karbachbrewing beer market co c496434953,drinking a love street by karbachbrewing beer market co c496434953,drink a love street by karbachbrew beer market co c496434953,0
901575618424438785,home sweet home      south park in houston  tx   vn7zmssg2y,home sweet home south park in houston tx vn7zmssg2y,home sweet home south park in houston tx vn7zmssg2y,home sweet home south park in houston tx vn7zmssg2i,0
901575486018650112,rarepairale   4s in the am   5s in the p m  a regular ole summer time i day n da h  will,rarepairale 4s in the am 5s in the p m a regular ole summer time i day n da h will,rarepairale 4 in the am 5 in the p m a regular ole summer time i day n da h will,rarepairal 4s in the am 5s in the p m a regular ole summer time i day n da h will,0
901575306078760961,drinking a bavik super pils by  brouwerijdb  beer market co     c496433550,drinking a bavik super pils by brouwerijdb beer market co c496433550,drinking a bavik super pils by brouwerijdb beer market co c496433550,drink a bavik super pil by brouwerijdb beer market co c496433550,0
901575136247259136,drinking an amber ale by  bellsbrewery  beer market co     c496432745,drinking an amber ale by bellsbrewery beer market co c496432745,drinking an amber ale by bellsbrewery beer market co c496432745,drink an amber ale by bellsbreweri beer market co c496432745,0
901574935230984192,increible the  narcogoverment training people to defend them against usa  el  criminal,increible the narcogoverment training people to defend them against usa el criminal,increible the narcogoverment training people to defend them against usa el criminal,increibl the narcogover train peopl to defend them against usa el crimin,0
901574848899579904,drinking an 7 iron by  11belowbrewing  beer market co     c496431836,drinking an 7 iron by 11belowbrewing beer market co c496431836,drinking an 7 iron by 11belowbrewing beer market co c496431836,drink an 7 iron by 11belowbrew beer market co c496431836,0
901574744159510528,point blank period coon booty bihhhhh  j3 barn and stables,point blank period coon booty bihhhhh j3 barn and stables,point blank period coon booty bihhhhh j3 barn and stable,point blank period coon booti bihhhhh j3 barn and stabl,0
901574533181779968,i think someone is sleepy   simon family,i think someone is sleepy simon family,i think someone is sleepy simon family,i think someon is sleepi simon famili,0
901574503469383681,e out and watch the texans with us on one of our big screen tv s    all the action up close,e out and watch the texans with us on one of our big screen tv s all the action up close,e out and watch the texan with u on one of our big screen tv s all the action up close,e out and watch the texan with us on one of our big screen tv s all the action up close,0
901574441045561344,now y all can really  e    sept 30th  the 43rd,now y all can really e sept 30th the 43rd,now y all can really e sept 30th the 43rd,now y all can realli e sept 30th the 43rd,0
901574242701103106,just posted a photo  city of houston southwest,just posted a photo city of houston southwest,just posted a photo city of houston southwest,just post a photo citi of houston southwest,0
901574228264312832,9 magnificent frigatebird  fregata magnificens    houston  willow waterhole park   2017 08 26 11 43  id,9 magnificent frigatebird fregata magnificens houston willow waterhole park 2017 08 26 11 43 id,9 magnificent frigatebird fregata magnificens houston willow waterhole park 2017 08 26 11 43 id,9 magnific frigatebird fregata magnificen houston willow waterhol park 2017 08 26 11 43 id,0
901574005299322884,i m pretty surprised  stillgame is on  netflix  i had to get my dvds from some guy in scotland,i m pretty surprised stillgame is on netflix i had to get my dvds from some guy in scotland,i m pretty surprised stillgame is on netflix i had to get my dvd from some guy in scotland,i m pretti surpris stillgam is on netflix i had to get my dvd from some guy in scotland,0
901573757516615680,i think buttons wants to do nutrisystem  city plaza at town square,i think buttons wants to do nutrisystem city plaza at town square,i think button want to do nutrisystem city plaza at town square,i think button want to do nutrisystem citi plaza at town squar,0
901573428699832324,harvey not stopping nada     laying this 12  pipe in the rain,harvey not stopping nada laying this 12 pipe in the rain,harvey not stopping nada laying this 12 pipe in the rain,harvey not stop nada lay thi 12 pipe in the rain,0
901572769472684033,my  hurricane harvey food wasn t gonna make itself so i made this happen instead   thanks,my hurricane harvey food wasn t gonna make itself so i made this happen instead thanks,my hurricane harvey food wasn t gonna make itself so i made this happen instead thanks,my hurrican harvey food wasn t gonna make itself so i made thi happen instead thank,2
901572593135824896,very  very nutty   drinking the nuttiest professor  flying saucer draught emporium    c496422927  photo,very very nutty drinking the nuttiest professor flying saucer draught emporium c496422927 photo,very very nutty drinking the nuttiest professor flying saucer draught emporium c496422927 photo,veri veri nutti drink the nuttiest professor fli saucer draught emporium c496422927 photo,0
901572503616749572,ready 4 this scrap  awwwhereitgoes  coolio voice   lincoln park apa ments,ready 4 this scrap awwwhereitgoes coolio voice lincoln park apa ments,ready 4 this scrap awwwhereitgoes coolio voice lincoln park apa ments,readi 4 thi scrap awwwhereitgo coolio voic lincoln park apa ment,0
901572494263549952,have you ever seen the rain  we sure have in houston  keep praying  join us for worship online,have you ever seen the rain we sure have in houston keep praying join us for worship online,have you ever seen the rain we sure have in houston keep praying join u for worship online,have you ever seen the rain we sure have in houston keep pray join us for worship onlin,2
901572242777169921,bowwow it s national dog day   puppylove  digithtown  in my zone,bowwow it s national dog day puppylove digithtown in my zone,bowwow it s national dog day puppylove digithtown in my zone,bowwow it s nation dog day puppylov digithtown in my zone,0
901571955433897986,i ve been on since noon  fox26houston w continuous coverage on your roadways til midnight  dr,i ve been on since noon fox26houston w continuous coverage on your roadways til midnight dr,i ve been on since noon fox26houston w continuous coverage on your roadway til midnight dr,i ve been on sinc noon fox26houston w continu coverag on your roadway til midnight dr,0
901571604899127296,just posted a photo  houston  texas,just posted a photo houston texas,just posted a photo houston texas,just post a photo houston texa,0
901570991515615233,black   white glenplaid wool  thank you  marvin    houston  texas,black white glenplaid wool thank you marvin houston texas,black white glenplaid wool thank you marvin houston texas,black white glenplaid wool thank you marvin houston texa,0
901570122686488577,someone is not a fan of the thunder   hedwig village  texas,someone is not a fan of the thunder hedwig village texas,someone is not a fan of the thunder hedwig village texas,someon is not a fan of the thunder hedwig villag texa,0
901569384728154112,doesn t this projected path for harvey look more like he s checking us off his to do,doesn t this projected path for harvey look more like he s checking us off his to do,doesn t this projected path for harvey look more like he s checking u off his to do,doesn t thi project path for harvey look more like he s check us off hi to do,0
901569224254128130,bananarepublic  bananarepublicfactory  gap  oldnavy  althea,bananarepublic bananarepublicfactory gap oldnavy althea,bananarepublic bananarepublicfactory gap oldnavy althea,bananarepubl bananarepublicfactori gap oldnavi althea,0
901569161968705537,preparing for all chapelwood  munity worship at mercy street  if you can t be here  you can,preparing for all chapelwood munity worship at mercy street if you can t be here you can,preparing for all chapelwood munity worship at mercy street if you can t be here you can,prepar for all chapelwood muniti worship at merci street if you can t be here you can,0
901568966581268480,such a bum lol   red pines apa ments in pasadena  tx   a0n3oncuyqo,such a bum lol red pines apa ments in pasadena tx a0n3oncuyqo,such a bum lol red pine apa ments in pasadena tx a0n3oncuyqo,such a bum lol red pine apa ment in pasadena tx a0n3oncuyqo,0
901568795508080640,just posted a video  alief  houston,just posted a video alief houston,just posted a video alief houston,just post a video alief houston,0
901567552194846721,drinking a swerve city by  belchingbeaver  420 lounge    c496402771  photo,drinking a swerve city by belchingbeaver 420 lounge c496402771 photo,drinking a swerve city by belchingbeaver 420 lounge c496402771 photo,drink a swerv citi by belchingbeav 420 loung c496402771 photo,0
901567376600203266,trapped inside waiting for harvey to pass    wishing i was back in sunny spain  throwback,trapped inside waiting for harvey to pass wishing i was back in sunny spain throwback,trapped inside waiting for harvey to pas wishing i wa back in sunny spain throwback,trap insid wait for harvey to pass wish i wa back in sunni spain throwback,0
901566807043182592,day 14  double leg kick  26,day 14 double leg kick 26,day 14 double leg kick 26,day 14 doubl leg kick 26,0
901566585793544194,aug 24 the white dress pa y h harloquin fashion show   bar bleu,aug 24 the white dress pa y h harloquin fashion show bar bleu,aug 24 the white dress pa y h harloquin fashion show bar bleu,aug 24 the white dress pa y h harloquin fashion show bar bleu,0
901566413986574336,sugar land tx sat aug 26th pm forecast  tonight tropical storm conditions lo 75 sunday thunder storms hi 81,sugar land tx sat aug 26th pm forecast tonight tropical storm conditions lo 75 sunday thunder storms hi 81,sugar land tx sat aug 26th pm forecast tonight tropical storm condition lo 75 sunday thunder storm hi 81,sugar land tx sat aug 26th pm forecast tonight tropic storm condit lo 75 sunday thunder storm hi 81,0
901566400996704257,sharpstown tx sat aug 26th pm forecast  tonight t storms lo 75 sunday thunder storms hi 80,sharpstown tx sat aug 26th pm forecast tonight t storms lo 75 sunday thunder storms hi 80,sharpstown tx sat aug 26th pm forecast tonight t storm lo 75 sunday thunder storm hi 80,sharpstown tx sat aug 26th pm forecast tonight t storm lo 75 sunday thunder storm hi 80,0
901566311012216832,houston tx sat aug 26th pm forecast  tonight t storms lo 75 sunday thunder storms hi 80,houston tx sat aug 26th pm forecast tonight t storms lo 75 sunday thunder storms hi 80,houston tx sat aug 26th pm forecast tonight t storm lo 75 sunday thunder storm hi 80,houston tx sat aug 26th pm forecast tonight t storm lo 75 sunday thunder storm hi 80,0
901566262467334144,lesson learned  this time we got prepared with food and water  as well as putting my stuff up,lesson learned this time we got prepared with food and water as well as putting my stuff up,lesson learned this time we got prepared with food and water a well a putting my stuff up,lesson learn thi time we got prepar with food and water as well as put my stuff up,0
901566158456975360,jen ny69  jenny69challenge  passit     hey jennty sending you mad,jen ny69 jenny69challenge passit hey jennty sending you mad,jen ny69 jenny69challenge passit hey jennty sending you mad,jen ny69 jenny69challeng passit hey jennti send you mad,0
901565986544996353,check out my album team patrico featuring shawnna  dawreck  john blu  mr stay crunk  poohdalini,check out my album team patrico featuring shawnna dawreck john blu mr stay crunk poohdalini,check out my album team patrico featuring shawnna dawreck john blu mr stay crunk poohdalini,check out my album team patrico featur shawnna dawreck john blu mr stay crunk poohdalini,0
